theta/pi: 0.38467, sin: 0.93508
   , cos: 0.35444, 1/sin: 1.06943
=================================================
q_max / q_scl, theta/pi, phi/pi
-------------
6.60912, 0.473,-0.493
6.64316, 0.691,0.49
6.67376, 0.752,-0.474
6.70468, 0.667,0.482
6.7392, 0.433,-0.486
6.77176, 0.268,0.491
6.80196, 0.261,-0.514
6.83412, 0.409,0.518
6.8688, 0.648,-0.519
6.9, 0.75,0.525
6.93044, 0.705,-0.506
6.96412, 0.499,0.5
6.99776, 0.294,-0.495
7.0282, 0.25,0.475
7.0594, 0.353,-0.48
7.09408, 0.593,0.483
7.12624, 0.739,-0.485
7.15644, 0.731,0.509
7.18904, 0.565,-0.514
7.22352, 0.332,0.516
7.25444, 0.248,-0.526
7.28504, 0.31,0.512
7.31912, 0.529,-0.506
7.35232, 0.718,0.501
7.3826, 0.747,-0.479
7.4142, 0.625,0.48
7.44896, 0.383,-0.481
7.48068, 0.255,0.48
7.51096, 0.278,-0.503
7.544, 0.462,0.509
7.5782, 0.685,-0.513
7.60884, 0.752,0.527
7.63968, 0.674,-0.516
7.67408, 0.443,0.512
7.7068, 0.272,-0.507
7.73704, 0.258,0.484
7.76904, 0.399,-0.481
7.80376, 0.64,0.481
7.83512, 0.749,-0.476
7.86548, 0.71,0.496
7.899, 0.51,-0.502
7.9328, 0.299,0.508
7.96328, 0.249,-0.525
7.99436, 0.345,0.52
8.029, 0.583,-0.516
8.06128, 0.737,0.513
8.09152, 0.734,-0.489
8.12396, 0.575,0.485
8.15852, 0.339,-0.482
8.18952, 0.248,0.474
8.22004, 0.304,-0.49
8.25396, 0.518,0.497
8.28736, 0.714,-0.502
8.31768, 0.748,0.522
8.34916, 0.633,-0.52
8.38388, 0.392,0.519
8.41576, 0.257,-0.518
8.446, 0.274,0.495
8.47888, 0.452,-0.489
8.5132, 0.679,0.486
8.54392, 0.753,-0.473
8.57468, 0.68,0.486
8.60896, 0.454,-0.49
8.64188, 0.275,0.495
8.67212, 0.256,-0.518
8.70396, 0.39,0.52
8.73872, 0.632,-0.52
8.7702, 0.748,0.522
8.80052, 0.715,-0.502
8.83384, 0.521,0.494
8.8678, 0.305,-0.491
8.89836, 0.248,0.474
8.92936, 0.338,-0.482
8.96388, 0.573,0.486
8.99636, 0.734,-0.489
9.02656, 0.737,0.513
9.05884, 0.585,-0.517
9.09348, 0.347,0.519
9.1246, 0.249,-0.525
9.15508, 0.298,0.507
9.18884, 0.508,-0.501
9.2224, 0.709,0.496
9.25276, 0.75,-0.476
9.28408, 0.642,0.48
9.3188, 0.401,-0.482
9.35084, 0.259,0.484
9.38104, 0.271,-0.507
9.41376, 0.441,0.513
9.44816, 0.672,-0.515
9.47904, 0.752,0.527
9.50968, 0.687,-0.513
9.54384, 0.464,0.508
9.57692, 0.279,-0.503
9.6072, 0.254,0.48
9.63888, 0.381,-0.48
9.67364, 0.623,0.481
9.70528, 0.746,-0.479
9.73556, 0.719,0.501
9.76872, 0.531,-0.508
9.80284, 0.311,0.512
9.83344, 0.248,-0.527
9.86432, 0.331,0.517
9.8988, 0.563,-0.513
9.93144, 0.731,0.508
9.96164, 0.74,-0.485
9.99376, 0.595,0.482

--- n|sin(θr)| + m|cos(θr)| (with 0 ≤ value ≤ 4√π), sorted by value ---
0|sin(θr)| + 0|cos(θr)| = 0.0   (n=0, m=0)
2|sin(θr)| + -5|cos(θr)| = 0.09793   (n=2, m=-5)
-1|sin(θr)| + 3|cos(θr)| = 0.12826   (n=-1, m=3)
1|sin(θr)| + -2|cos(θr)| = 0.22619   (n=1, m=-2)
0|sin(θr)| + 1|cos(θr)| = 0.35444   (n=0, m=1)
2|sin(θr)| + -4|cos(θr)| = 0.45238   (n=2, m=-4)
-1|sin(θr)| + 4|cos(θr)| = 0.4827   (n=-1, m=4)
1|sin(θr)| + -1|cos(θr)| = 0.58063   (n=1, m=-1)
0|sin(θr)| + 2|cos(θr)| = 0.70889   (n=0, m=2)
2|sin(θr)| + -3|cos(θr)| = 0.80682   (n=2, m=-3)
-1|sin(θr)| + 5|cos(θr)| = 0.83715   (n=-1, m=5)
1|sin(θr)| + 0|cos(θr)| = 0.93508   (n=1, m=0)
3|sin(θr)| + -5|cos(θr)| = 1.03301   (n=3, m=-5)
0|sin(θr)| + 3|cos(θr)| = 1.06333   (n=0, m=3)
2|sin(θr)| + -2|cos(θr)| = 1.16127   (n=2, m=-2)
1|sin(θr)| + 1|cos(θr)| = 1.28952   (n=1, m=1)
3|sin(θr)| + -4|cos(θr)| = 1.38745   (n=3, m=-4)
0|sin(θr)| + 4|cos(θr)| = 1.41778   (n=0, m=4)
2|sin(θr)| + -1|cos(θr)| = 1.51571   (n=2, m=-1)
1|sin(θr)| + 2|cos(θr)| = 1.64397   (n=1, m=2)
3|sin(θr)| + -3|cos(θr)| = 1.7419   (n=3, m=-3)
0|sin(θr)| + 5|cos(θr)| = 1.77222   (n=0, m=5)
2|sin(θr)| + 0|cos(θr)| = 1.87015   (n=2, m=0)
4|sin(θr)| + -5|cos(θr)| = 1.96809   (n=4, m=-5)
1|sin(θr)| + 3|cos(θr)| = 1.99841   (n=1, m=3)
3|sin(θr)| + -2|cos(θr)| = 2.09634   (n=3, m=-2)
2|sin(θr)| + 1|cos(θr)| = 2.2246   (n=2, m=1)
4|sin(θr)| + -4|cos(θr)| = 2.32253   (n=4, m=-4)
1|sin(θr)| + 4|cos(θr)| = 2.35285   (n=1, m=4)
3|sin(θr)| + -1|cos(θr)| = 2.45079   (n=3, m=-1)
2|sin(θr)| + 2|cos(θr)| = 2.57904   (n=2, m=2)
4|sin(θr)| + -3|cos(θr)| = 2.67697   (n=4, m=-3)
1|sin(θr)| + 5|cos(θr)| = 2.7073   (n=1, m=5)
3|sin(θr)| + 0|cos(θr)| = 2.80523   (n=3, m=0)
5|sin(θr)| + -5|cos(θr)| = 2.90316   (n=5, m=-5)
2|sin(θr)| + 3|cos(θr)| = 2.93349   (n=2, m=3)
4|sin(θr)| + -2|cos(θr)| = 3.03142   (n=4, m=-2)
3|sin(θr)| + 1|cos(θr)| = 3.15968   (n=3, m=1)
5|sin(θr)| + -4|cos(θr)| = 3.25761   (n=5, m=-4)
2|sin(θr)| + 4|cos(θr)| = 3.28793   (n=2, m=4)
4|sin(θr)| + -1|cos(θr)| = 3.38586   (n=4, m=-1)
3|sin(θr)| + 2|cos(θr)| = 3.51412   (n=3, m=2)
5|sin(θr)| + -3|cos(θr)| = 3.61205   (n=5, m=-3)
2|sin(θr)| + 5|cos(θr)| = 3.64238   (n=2, m=5)
4|sin(θr)| + 0|cos(θr)| = 3.74031   (n=4, m=0)
